id,cas,maincurr,currency,stav,kurz,kolik,uspech,kdo,plus,popis,yoid
424,"2018-04-10 15:50:40.150260",usd,xvg,nakup,0.07570008,2.750893,NULL,pyrservis,1,"nakup z nabidky",104076649341141
425,"2018-04-10 16:26:52.888870",usd,xvg,prodej,0.07839967,414.281224959,NULL,pyrservis,1,"prodej pri zmene kurzu",204076649431992
426,"2018-04-10 16:50:03.313474",usd,xvg,prodej,0.0801,250,NULL,pyrservis,1,"prodej z nabidky",204076649492446
427,"2018-04-10 16:50:03.844722",usd,xvg,prodej,0.0801,214.996857474,NULL,pyrservis,1,"prodej z nabidky",204076649492487
428,"2018-04-10 16:51:06.298197",usd,xvg,prodej,0.08009991,150.497800233,NULL,pyrservis,1,"prodej pri zmene kurzu",204076649495291
429,"2018-04-10 17:07:19.909307",usd,xvg,nakup,0.07923,138.59756881,NULL,pyrservis,1,"nakup z nabidky",104076649538809
430,"2018-04-10 17:22:29.145408",usd,xvg,prodej,0.08148408,146.927730807,NULL,pyrservis,1,"prodej z nabidky",204076649579398
431,"2018-04-10 17:22:29.332877",usd,xvg,prodej,0.08148408,102.849411567,NULL,pyrservis,1,"prodej z nabidky",204076649579425
432,"2018-04-10 17:23:31.426775",usd,xvg,prodej,0.0819915,41.81039659,NULL,pyrservis,2,"prodej z nabidky",204076649582391
433,"2018-04-10 17:23:31.661155",usd,xvg,prodej,0.0819915,79.26862549600001,NULL,pyrservis,2,"prodej z nabidky",204076649582414
434,"2018-04-10 17:24:34.051905",usd,xvg,prodej,0.08199145,47.5611753,NULL,pyrservis,2,"prodej pri zmene kurzu",204076649585422
435,"2018-04-10 17:47:57.898366",usd,xvg,prodej,0.08270581,21.402528885,NULL,pyrservis,1,"prodej z nabidky",204076649648288
436,"2018-04-10 17:48:59.773521",usd,xvg,prodej,0.08270582,14.981770220999998,NULL,pyrservis,1,"prodej z nabidky",204076649651053
437,"2018-04-10 17:50:01.773628",usd,xvg,prodej,0.08282278,10.487239155000001,NULL,pyrservis,1,"prodej z nabidky",204076649653663
438,"2018-04-10 17:51:04.008134",usd,xvg,prodej,0.08299999,7.341067409999999,NULL,pyrservis,1,"prodej z nabidky",204076649656492
439,"2018-04-10 17:51:04.226886",usd,xvg,prodej,0.08299999,5.138747189999999,NULL,pyrservis,1,"prodej z nabidky",204076649656521
440,"2018-04-10 17:52:06.430110",usd,xvg,prodej,0.08282278,3.5971230359999997,NULL,pyrservis,1,"prodej pri zmene kurzu",204076649659150
441,"2018-04-10 17:56:12.477521",usd,xvg,prodej,0.08420002,2.517986127,NULL,pyrservis,1,"prodej z nabidky",204076649669495
442,"2018-04-10 17:56:13.352554",usd,xvg,prodej,0.08420002,1.7625902909999998,NULL,pyrservis,1,"prodej z nabidky",204076649669551
443,"2018-04-10 17:57:15.383862",usd,xvg,prodej,0.08469002,1.645084272,NULL,pyrservis,2,"prodej z nabidky",204076649672384
444,"2018-04-10 17:58:17.602712",usd,xvg,prodej,0.085,1.233813205,NULL,pyrservis,3,"prodej z nabidky",204076649675127
445,"2018-04-11 03:59:31.813895",usd,xvg,nakup,0.08245036,46.28414809,NULL,pyrservis,5,"nakup z nabidky",104076651256333
446,"2018-04-11 04:00:34.251502",usd,xvg,nakup,0.08245036,970.582846757734,NULL,pyrservis,5,"nakup z nabidky",104076651259141
447,"2018-04-11 04:06:41.330334",usd,xvg,prodej,0.08394999,305.43024241499995,NULL,pyrservis,1,"prodej pri zmene kurzu",204076651275654
448,"2018-04-11 04:11:49.862207",usd,xvg,prodej,0.084645,285.068226256,NULL,pyrservis,2,"prodej z nabidky",204076651289399
449,"2018-04-11 04:12:51.659188",usd,xvg,prodej,0.084645,171.040935756,NULL,pyrservis,2,"prodej z nabidky",204076651292129
450,"2018-04-11 04:16:57.456581",usd,xvg,prodej,0.085,128.28070182,NULL,pyrservis,3,"prodej z nabidky",204076651302919
451,"2018-04-11 04:17:59.378558",usd,xvg,prodej,0.085,64.14035091,NULL,pyrservis,3,"prodej z nabidky",204076651305598
452,"2018-04-11 05:03:20.774516",usd,xvg,nakup,0.08310464,43.84979449,NULL,pyrservis,2,"nakup z nabidky",104076651419187
453,"2018-04-11 05:03:21.165106",usd,xvg,nakup,0.08310464,31.61064,NULL,pyrservis,2,"nakup z nabidky",104076651419223
454,"2018-04-11 05:33:30.731158",usd,xvg,prodej,0.08497082,41.88023562,NULL,pyrservis,1,"prodej pri zmene kurzu",204076651496251
455,"2018-04-11 06:26:55.628176",usd,xvg,nakup,0.08163265,11.95288209,NULL,pyrservis,1,"nakup z nabidky",104076651626521
456,"2018-04-11 06:27:57.690675",usd,xvg,nakup,0.08163265,5.32253698,NULL,pyrservis,1,"nakup z nabidky",104076651628902
457,"2018-04-11 06:28:59.831411",usd,xvg,nakup,0.08163265,560.7086476428242,NULL,pyrservis,1,"nakup z nabidky",104076651631310
458,"2018-04-11 06:29:00.206414",usd,xvg,nakup,0.08163265,168.7871,NULL,pyrservis,1,"nakup z nabidky",104076651631365
459,"2018-04-11 06:30:01.956545",usd,xvg,nakup,0.08163265,392.15962820023606,NULL,pyrservis,1,"nakup z nabidky",104076651633685
460,"2018-04-11 06:30:02.253516",usd,xvg,nakup,0.08163265,58.2735887,NULL,pyrservis,1,"nakup z nabidky",104076651633708
461,"2018-04-11 06:31:04.347293",usd,xvg,nakup,0.08163265,223.5382193132519,NULL,pyrservis,1,"nakup z nabidky",104076651636046
462,"2018-04-11 06:31:04.550438",usd,xvg,nakup,0.08163265,19.748105,NULL,pyrservis,1,"nakup z nabidky",104076651636067
463,"2018-04-11 06:32:06.769276",usd,xvg,nakup,0.08163255,138.82542811971794,NULL,pyrservis,1,"nakup z nabidky",104076651638452
464,"2018-04-11 06:33:08.894396",usd,xvg,nakup,0.0815,91.30641677300613,NULL,pyrservis,1,"nakup z nabidky",104076651640855
